PlayerID,FG,FGA,3P,3PA,FT,FTA,FG%,3P%,FT%
reddica01,1.2,2.8,0.4,1.4,0.5,0.8,0.404,0.277,0.615
wrighde01,1.1,3.3,0.5,1.8,0.4,0.6,0.344,0.274,0.6
wrighde01,0.8,3.2,0.5,1.9,0.3,0.6,0.268,0.245,0.563
wrighde01,1.6,3.5,0.6,1.7,0.4,0.6,0.469,0.333,0.667
kelleky01,1.3,2.0,0.0,0.0,0.5,0.9,0.636,,0.6
kelleky01,1.3,1.6,0.0,0.0,0.5,0.8,0.769,,0.667
kelleky01,1.3,3.0,0.0,0.0,0.7,1.3,0.444,,0.5
harriga01,1.1,2.8,0.8,2.1,0.1,0.3,0.383,0.356,0.583
klebima01,1.1,2.8,0.4,1.4,0.5,0.6,0.385,0.265,0.762
mooreta02,1.0,5.0,0.5,2.0,0.5,1.0,0.2,0.25,0.5
ruperra01,1.1,2.7,0.3,1.1,0.4,0.6,0.408,0.271,0.767
tuckepj01,1.0,2.3,1.0,2.0,0.0,0.0,0.429,0.5,
nancepe01,1.1,2.5,0.7,1.8,0.1,0.2,0.438,0.375,0.5
nancepe01,0.7,2.1,0.6,1.7,0.1,0.3,0.333,0.333,0.5
nancepe01,1.5,2.8,0.8,2.0,0.0,0.0,0.529,0.417,
fultzma01,1.3,3.2,0.2,0.4,0.0,0.0,0.418,0.5,1.0
gibsota01,1.3,2.6,0.0,0.1,0.3,0.5,0.495,0.5,0.6
smithty02,1.0,2.2,0.6,1.3,0.3,0.3,0.48,0.433,0.75
dennira01,1.0,3.0,0.5,1.9,0.2,0.2,0.333,0.286,1.0
dukeda01,1.0,2.3,0.5,1.0,0.2,0.3,0.429,0.5,0.5
johnske10,1.1,1.6,0.2,0.4,0.3,0.6,0.692,0.429,0.444
beekmre01,1.0,3.0,0.2,1.1,0.4,0.6,0.327,0.175,0.762
beekmre01,0.5,0.5,0.0,0.0,0.0,0.0,1.0,,
beekmre01,1.0,3.1,0.2,1.2,0.5,0.6,0.321,0.175,0.762
crowdja01,0.8,2.4,0.4,1.7,0.6,0.7,0.318,0.267,0.833
minotjo01,1.0,2.0,0.3,0.9,0.4,0.4,0.489,0.326,0.895
tysonhu01,0.9,2.4,0.5,1.5,0.4,0.5,0.375,0.311,0.75
sprinja01,0.8,2.1,0.3,1.1,0.6,0.9,0.389,0.25,0.711
sprinja01,0.5,1.3,0.2,0.7,0.6,0.8,0.353,0.316,0.714
sprinja01,1.4,3.3,0.4,1.7,0.7,1.0,0.411,0.207,0.706
jemistr01,1.1,1.9,0.0,0.0,0.3,0.9,0.554,,0.394
jemistr01,0.9,2.0,0.0,0.0,0.5,1.3,0.469,,0.381
jemistr01,1.2,1.9,0.0,0.0,0.2,0.5,0.619,,0.417
gillan01,0.8,1.7,0.2,0.6,0.6,1.0,0.489,0.323,0.66
jonesdi01,0.9,2.5,0.3,1.2,0.3,0.5,0.383,0.254,0.607
spencpa01,1.1,2.6,0.1,0.6,0.3,0.4,0.406,0.227,0.733
davisjo06,0.9,2.3,0.2,0.9,0.3,0.4,0.41,0.241,0.6
kolokch01,1.1,1.8,0.0,0.1,0.3,0.4,0.606,0.0,0.714
konchjo01,0.9,2.0,0.5,1.3,0.2,0.2,0.451,0.371,0.875
beaucma01,0.8,1.9,0.3,0.8,0.4,0.6,0.415,0.345,0.75
beaucma01,0.7,1.8,0.3,0.8,0.3,0.5,0.383,0.333,0.75
beaucma01,1.3,2.3,0.7,1.0,0.7,1.3,0.571,0.667,0.5
beaucma01,0.8,1.8,0.2,0.8,0.7,0.7,0.455,0.2,1.0
jamesbr02,0.8,2.5,0.3,1.2,0.4,0.5,0.313,0.281,0.786
