PlayerID,Player,Age,Pos,TeamID
jonestr01,Tre Jones,25.0,PG,CHI
bitadgo01,Goga Bitadze,25.0,C,ORL
dasiltr01,Tristan Da Silva,23.0,SF,ORL
jacksgg01,GG Jackson II,20.0,PF,MEM
krejcvi01,Vit Krejci,24.0,PG,ATL
merrisa01,Sam Merrill,28.0,SG,CLE
plowdda01,Daeqwon Plowden,26.0,SG,ATL
tomlina01,Nae'Qwan Tomlin,24.0,PF,CLE
okogijo01,Josh Okogie,26.0,SG,2TM
okogijo01,Josh Okogie,26.0,SG,PHO
okogijo01,Josh Okogie,26.0,SG,CHO
hoodsja01,Jalen Hood-Schifino,21.0,SG,2TM
hoodsja01,Jalen Hood-Schifino,21.0,SG,LAL
hoodsja01,Jalen Hood-Schifino,21.0,SG,PHI
battlja01,Jamison Battle,23.0,SF,TOR
carusal01,Alex Caruso,30.0,SG,OKC
sheadja01,Jamal Shead,22.0,PG,TOR
dowtije01,Jeff Dowtin Jr.,27.0,PG,PHI
garrema01,Marcus Garrett,26.0,SG,CHO
jacksis01,Isaiah Jackson,23.0,C,IND
simsja01,Jaylen Sims,26.0,SG,CHO
robinor01,Orlando Robinson,24.0,C,2TM
robinor01,Orlando Robinson,24.0,C,SAC
robinor01,Orlando Robinson,24.0,C,TOR
laravja01,Jake LaRavia,23.0,PF,2TM
laravja01,Jake LaRavia,23.0,PF,MEM
laravja01,Jake LaRavia,23.0,PF,SAC
dunnry01,Ryan Dunn,22.0,SF,PHO
huffja01,Jay Huff,26.0,C,MEM
payneca01,Cameron Payne,30.0,PG,NYK
reevean01,Antonio Reeves,24.0,SG,NOP
martico01,Cody Martin,29.0,SF,2TM
martico01,Cody Martin,29.0,SF,CHO
martico01,Cody Martin,29.0,SF,PHO
bolbo01,Bol Bol,25.0,PF,PHO
gordoer01,Eric Gordon,36.0,SG,PHI
hayesja02,Jaxson Hayes,24.0,C,LAL
baglema02,Marcus Bagley,23.0,SF,PHI
jeffrda01,DaQuan Jeffries,27.0,SG,CHO
quinole01,Lester Quiñones,24.0,SG,2TM
quinole01,Lester Quiñones,24.0,SG,PHI
quinole01,Lester Quiñones,24.0,SG,NOP
micicva01,Vasilije Micić,31.0,PG,2TM
micicva01,Vasilije Micić,31.0,PG,CHO
micicva01,Vasilije Micić,31.0,PG,PHO
achiupr01,Precious Achiuwa,25.0,C,NYK
jackstr02,Trayce Jackson-Davis,24.0,C,GSW
sassema01,Marcus Sasser,24.0,PG,DET
willivi01,Vince Williams Jr.,24.0,SG,MEM
bryanth01,Thomas Bryant,27.0,C,2TM
bryanth01,Thomas Bryant,27.0,C,MIA
bryanth01,Thomas Bryant,27.0,C,IND
clingdo01,Donovan Clingan,20.0,C,POR
curryse01,Seth Curry,34.0,SG,CHO
highsha01,Haywood Highsmith,28.0,SF,MIA
hortota01,Talen Horton-Tucker,24.0,SG,CHI
lylestr01,Trey Lyles,29.0,PF,SAC
mitchaj01,Ajay Mitchell,22.0,SG,OKC
paytoga02,Gary Payton II,32.0,SG,GSW
colliza01,Zach Collins,27.0,PF,2TM
colliza01,Zach Collins,27.0,C,SAS
colliza01,Zach Collins,27.0,PF,CHI
dunnkr01,Kris Dunn,30.0,PG,LAC
hollaro01,Ron Holland,19.0,SF,DET
martike04,KJ Martin,24.0,PF,2TM
martike04,KJ Martin,24.0,PF,PHI
martike04,KJ Martin,24.0,SF,UTA
vincega01,Gabe Vincent,28.0,PG,LAL
mamuksa01,Sandro Mamukelashvili,25.0,PF,SAS
robinje02,Jeremiah Robinson-Earl,24.0,PF,NOP
willike04,Kenrich Williams,30.0,PF,OKC
hylanbo01,Bones Hyland,24.0,PG,2TM
hylanbo01,Bones Hyland,24.0,PG,LAC
hylanbo01,Bones Hyland,24.0,PG,MIN
mogbojo01,Jonathan Mogbo,23.0,PF,TOR
rolliry01,Ryan Rollins,22.0,PG,MIL
smithdr01,Dru Smith,27.0,SG,MIA
okorois01,Isaac Okoro,24.0,SG,CLE
walkeja02,Jarace Walker,21.0,PF,IND
nfalyda01,N'Faly Dante,23.0,C,HOU
gueyemo02,Mouhamed Gueye,22.0,PF,ATL
kornelu01,Luke Kornet,29.0,C,BOS
mobleis01,Isaiah Mobley,25.0,PF,PHI
stewais01,Isaiah Stewart,23.0,C,DET
wisemja01,James Wiseman,23.0,C,IND
wongis01,Isaiah Wong,24.0,SG,CHO
swideco01,Cole Swider,25.0,SF,2TM
swideco01,Cole Swider,25.0,SF,DET
swideco01,Cole Swider,25.0,SF,TOR
okekech01,Chuma Okeke,26.0,PF,2TM
okekech01,Chuma Okeke,26.0,PF,PHI
okekech01,Chuma Okeke,26.0,PF,CLE
anderky01,Kyle Anderson,31.0,PF,2TM
anderky01,Kyle Anderson,31.0,PF,GSW
anderky01,Kyle Anderson,31.0,SF,MIA
fontesi01,Simone Fontecchio,29.0,SF,DET
gilleco01,Collin Gillespie,25.0,PG,PHO
salauti01,Tidjane Salaün,19.0,PF,CHO
willija07,Jaylin Williams,22.0,PF,OKC
brownmo01,Moses Brown,25.0,C,2TM
brownmo01,Moses Brown,25.0,C,IND
brownmo01,Moses Brown,25.0,C,DAL
bonaad01,Adem Bona,21.0,C,PHI
jacksqu01,Quenton Jackson,26.0,PG,IND
williro04,Robert Williams,27.0,C,POR
diabamo01,Moussa Diabaté,23.0,C,CHO
whiteda01,Dariq Whitehead,20.0,SF,BRK
shamela01,Landry Shamet,27.0,SG,NYK
goodwjo01,Jordan Goodwin,26.0,PG,LAL
miltosh01,Shake Milton,28.0,SG,2TM
miltosh01,Shake Milton,28.0,SG,BRK
miltosh01,Shake Milton,28.0,SG,LAL
holidaa01,Aaron Holiday,28.0,PG,HOU
greenje02,Jeff Green,38.0,PF,HOU
isaacjo01,Jonathan Isaac,27.0,PF,ORL
wadede01,Dean Wade,28.0,PF,CLE
wallake01,Keaton Wallace,25.0,PG,ATL
bufkiko01,Kobe Bufkin,21.0,SG,ATL
cainja01,Jamal Cain,25.0,SF,NOP
connapa01,Pat Connaughton,32.0,SG,MIL
loveke01,Kevin Love,36.0,PF,MIA
sheppbe01,Ben Sheppard,23.0,SG,IND
morrimo01,Monte Morris,29.0,PG,PHO
walkeja01,Jabari Walker,22.0,PF,POR
greenja02,Javonte Green,31.0,SG,2TM
greenja02,Javonte Green,31.0,SG,NOP
greenja02,Javonte Green,31.0,SG,CLE
reeseal01,Alex Reese,25.0,PF,2TM
reeseal01,Alex Reese,25.0,PF,OKC
reeseal01,Alex Reese,25.0,PF,PHI
biyombi01,Bismack Biyombo,32.0,C,SAS
robinmi01,Mitchell Robinson,26.0,C,NYK
joneska01,Kai Jones,24.0,C,2TM
joneska01,Kai Jones,24.0,C,LAC
joneska01,Kai Jones,24.0,C,DAL
simmobe01,Ben Simmons,28.0,PG,2TM
simmobe01,Ben Simmons,28.0,PG,BRK
simmobe01,Ben Simmons,28.0,PG,LAC
branhma01,Malaki Branham,21.0,SG,SAS
quetane01,Neemias Queta,25.0,C,BOS
willial06,Alondes Williams,25.0,SG,DET
martija02,Jaylen Martin,21.0,SF,2TM
martija02,Jaylen Martin,21.0,SF,BRK
martija02,Jaylen Martin,21.0,SF,WAS
waterli01,Lindy Waters III,27.0,SG,2TM
waterli01,Lindy Waters III,27.0,SG,GSW
waterli01,Lindy Waters III,27.0,SG,DET
queentr01,Trevelin Queen,27.0,SG,ORL
landajo01,Jock Landale,29.0,C,HOU
castlco01,Colin Castleton,24.0,C,3TM
castlco01,Colin Castleton,24.0,C,MEM
castlco01,Colin Castleton,24.0,C,TOR
castlco01,Colin Castleton,24.0,C,PHI
hendrta01,Taylor Hendricks,21.0,PF,UTA
roddyda01,David Roddy,23.0,PF,3TM
roddyda01,David Roddy,23.0,PF,ATL
roddyda01,David Roddy,23.0,PF,PHI
roddyda01,David Roddy,23.0,PF,HOU
eubandr01,Drew Eubanks,27.0,C,2TM
eubandr01,Drew Eubanks,27.0,C,UTA
eubandr01,Drew Eubanks,27.0,C,LAC
larsspe01,Pelle Larsson,23.0,SG,MIA
phillju01,Julian Phillips,21.0,SF,CHI
willico04,Cody Williams,20.0,SG,UTA
dilliro01,Rob Dillingham,20.0,PG,MIN
howarje01,Jett Howard,21.0,SF,ORL
looneke01,Kevon Looney,28.0,C,GSW
plumlma01,Mason Plumlee,34.0,C,PHO
terryda01,Dalen Terry,22.0,SG,CHI
baglema01,Marvin Bagley III,25.0,PF,2TM
baglema01,Marvin Bagley III,25.0,C,WAS
baglema01,Marvin Bagley III,25.0,PF,MEM
bassech01,Charles Bassey,24.0,C,SAS
bradlto01,Tony Bradley,27.0,C,IND
jacksre01,Reggie Jackson,34.0,PG,PHI
sheppre01,Reed Sheppard,20.0,PG,HOU
stevela01,Lamar Stevens,27.0,PF,MEM
bambamo01,Mo Bamba,26.0,C,2TM
bambamo01,Mo Bamba,26.0,C,LAC
bambamo01,Mo Bamba,26.0,C,NOP
carteje01,Jevon Carter,29.0,PG,CHI
pottemi01,Micah Potter,26.0,C,UTA
shannte01,Terrence Shannon Jr.,24.0,SG,MIN
theisda01,Daniel Theis,32.0,C,NOP
craigto01,Torrey Craig,34.0,SF,2TM
craigto01,Torrey Craig,34.0,SF,CHI
craigto01,Torrey Craig,34.0,SF,BOS
moorewe01,Wendell Moore Jr.,23.0,SG,2TM
moorewe01,Wendell Moore Jr.,23.0,SG,DET
moorewe01,Wendell Moore Jr.,23.0,SG,CHO
barlodo01,Dominick Barlow,21.0,PF,ATL
edwarke02,Kessler Edwards,24.0,SF,DAL
ighodos01,Oso Ighodaro,22.0,PF,PHO
murrakr01,Kris Murray,24.0,SF,POR
reathdu01,Duop Reath,28.0,C,POR
spencca01,Cam Spencer,24.0,SG,MEM
lewisma05,Maxwell Lewis,22.0,SF,2TM
lewisma05,Maxwell Lewis,22.0,SF,LAL
lewisma05,Maxwell Lewis,22.0,SF,BRK
clarkja02,Jaylen Clark,23.0,SG,MIN
houstca01,Caleb Houstan,22.0,SF,ORL
millejo02,Jordan Miller,25.0,SF,LAC
pickeja02,Jalen Pickett,25.0,SG,DEN
reedpa01,Paul Reed,25.0,C,DET
santogu01,Gui Santos,22.0,PF,GSW
